customer_id,first_name,last_name,email,region,signup_date
C1000,anna,Brown,user0@example.com,EAST,2024-02-28
C1001,John,Brown,user1@example.com,NORTH,23/05/2024
C1002,John,Jones,user2@example.com,West,2024/01/16
C1003,anna,Brown,user3@example.com,North,06/11/2023
C1004,DAVID,WILLIAMS,user4@example.com,South,06-21-2024
C1005,mary,Smith,user5@example.com,West,2023-06-29
C1006,mary,johnson,user6@example.com,west,2024-01-19
C1007,mary,WILLIAMS,user7@example.com,north,2023-07-26
C1008,anna,WILLIAMS,user8@example.com,NORTH,2024-03-30
C1009,John,Brown,user9@example.com,west,09/05/2024
C1010,anna,Smith,user10@example.com,west,07-14-2023
C1011,anna,johnson,,east,05-10-2024
C1012,Michael,WILLIAMS,user12@example.com,EAST,02/12/2023
C1013,John,Jones,user13@example.com,West,11/04/2023
C1014,Michael,johnson,user14@example.com,west,2023-07-30
C1015,sarah,Brown,user15@example.com,south,2024/04/15
C1016,John,Smith,user16@example.com,EAST,2024-12-31
C1017,John,Jones,,North,01-05-2023
C1018,John,johnson,user18@example.com,south,2023-02-15
C1019,mary,johnson,user19@example.com,West,2023/12/08
C1020,mary,WILLIAMS,user20@example.com,South,2023-02-17
C1021,Michael,johnson,user21@example.com,north,06-17-2024
C1022,Michael,Smith,user22@example.com,South,01-24-2023
C1023,John,Smith,,North,16/10/2024
C1024,Michael,johnson,user24@example.com,South,25/11/2023
C1025,mary,WILLIAMS,user25@example.com,east,07-17-2023
C1026,anna,Jones,user26@example.com,NORTH,10-11-2023
C1027,anna,Jones,user27@example.com,EAST,2024-03-27
C1028,anna,WILLIAMS,user28@example.com,EAST,07/10/2023
C1029,Michael,Brown,user29@example.com,North,06-11-2023
C1030,sarah,Smith,user30@example.com,EAST,2023-04-28
C1031,mary,Brown,user31@example.com,NORTH,2024-09-29
C1032,sarah,WILLIAMS,user32@example.com,South,07-31-2023
C1033,Michael,Brown,user33@example.com,West,07-16-2024
C1034,DAVID,WILLIAMS,user34@example.com,NORTH,05/10/2023
C1035,James,Jones,user35@example.com,north,12-22-2024
C1036,James,Jones,user36@example.com,South,10/08/2024
C1037,John,Brown,user37@example.com,,2023-06-25
C1038,James,Brown,user38@example.com,EAST,11-15-2023
C1039,James,Smith,user39@example.com,South,2024/07/07
C1040,mary,Jones,user40@example.com,EAST,21/02/2023
C1041,anna,Smith,user41@example.com,EAST,2023/01/30
